,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
75001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75007,Teacher,None,Stole a high school computer lab pass,Pragmatic Coupe,Media Executive,11,12,4981,8,10,52968,8,610,7,1,1,,,,,Two Rings,White Canvas Sneaker with White Sole,Navy Slacks,Khaki Oxford with Pocket,,Light Brown,Short Afro Fade,White Heavy Rain
75008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75019,Disciple,None,Subscribed to 2600,Souped-Up Sedan With Ground Effect Lights,Unemployed,10,11,51,3,15,35555,7,739,12,1,1,Blue Lunchbox,Stud Earring,Silver Aviators,,,Brown Leather Shoes with Laces,Gray Slacks,Gray Blazer with Black Shirt and No Tie,,Dark Brown,,White Light Rain
75020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75025,Master,None,Read the Bitcoin white paper twice,Shiny Red Convertible,Compliance Officer,12,10,4981,8,16,35555,7,753,13,1,1,,,,,,White Canvas Sneaker with White Sole,Blue Denim,Light Gray Cardigan with Light Gray Oxford Shirt,,Black,Long Afro,White Light Rain
