,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
70001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70031,Teacher,None,"Ten monitors, dark room, hoodie",Three Wheel Roadster,Bookkeeper,11,15,1993,7,13,10098,5,559,6,1,1,Brown Leather Briefcase,,Silver Aviators,,,White Leather Sneaker with Grey Sole,Navy Slacks,Dark Gray Cardigan with Tan Longsleeve Shirt,Stubble,Black,,White Light Rain
70032,Willing Student,None,"Ten monitors, dark room, hoodie",Pragmatic Coupe,Custodian,5,15,516,5,10,172581,12,753,13,1,1,,,,Tan Worker's Cap,,Redbrown Leather Workboot with Brown Sole,Light-Wash Denim,Blue Longsleeve,,Dark Brown,,White Light Rain
70033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70040,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70041,Disciple,None,Pretty good with GW Basic,Pragmatic Coupe,Utility Worker,10,9,1993,7,10,35555,7,699,9,1,1,Black Smartphone,,,,Two Rings,Brown Leather Shoes with Laces,Charcoal Slacks,Gray Oxford with Buttons,,Blonde,Medium Curly Bob,White Medium Rain
70042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70050,Grandmaster,None,Pretty good with GW Basic,Low Rider,Day Trader,13,9,1993,7,11,52968,8,559,6,1,1,Brown Leather Briefcase,,Black Books,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Blue Longsleeve,Thin,Blonde,Short Coil,White Heavy Rain
70051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70052,Disciple,None,Stole a high school computer lab pass,Pragmatic Coupe,Compliance Officer,10,12,777,6,10,35555,7,791,15,1,1,Black Smartphone,,,,Two Rings,Tan Suede Workboot with Tan Sole,Navy Slacks,Navy Oxford with Buttons,Mustache,Light Brown,Short Messy,White Light Rain
70053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70059,Disciple,None,Subscribed to 2600,Electric Car,Custodian,10,11,12453,9,12,92000,10,777,14,1,1,,,Black Books,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Navy Oxford with Tie and Pocket,Stubble,Black,Short Coil,White Heavy Rain
70060,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70070,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70075,Graduate,None,Read the Bitcoin white paper twice,Electric Car,Unemployed,9,10,84059,11,12,172581,12,725,11,1,1,Light Blue Smartphone,,Silver Aviators,,,Brown Leather Shoes with Laces,,Navy Jumpsuit,Mustache,Black,Short Messy,White Heavy Rain
70076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70090,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70097,Master,None,Erased your social security number,Low Rider,Utility Worker,12,16,777,6,11,10098,5,610,7,1,1,Brown Leather Briefcase,,,,Two Rings,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Thin,Black,Short Coil,White Medium Rain
70098,Teacher,None,Subscribed to 2600,Pragmatic Coupe,Legal Assistant,11,11,128,4,10,52968,8,711,10,1,1,Black Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Navy Oxford with Tie,,Dark Brown,Short Messy,White Medium Rain
70099,Grandmaster,None,Read the Bitcoin white paper twice,Retired Mail Truck,Night Shift Supervisor,13,10,32566218,17,7,92000,10,791,15,1,1,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Tan Blazer with Off-White Shirt and No Tie,,Light Brown,Short Afro Fade,White Light Rain
70100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70106,Disciple,None,Pretty good with GW Basic,Low Rider,Computer Programmer,10,9,1993,7,11,35555,7,457,4,1,1,,,,,Two Rings,White Canvas Sneaker with White Sole,Dark-Wash Denim,Navy Oxford with Buttons,,Light Brown,Short Messy,White Medium Rain
70107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70117,Graduate,None,Subscribed to 2600,Low Rider,Electrician,9,11,128,4,11,92000,10,661,8,1,1,,,,Tan Worker's Cap,,Black Leather Shoes with Laces,Gray Slacks,Gray Oxford with Buttons,,Blonde,Buzz Cut,White Heavy Rain
70118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70120,Graduate,None,Pretty good with GW Basic,Low Rider,Compliance Officer,9,9,516,5,11,52968,8,610,7,1,1,Lunchbox,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Light Gray Cardigan with Tan Longsleeve Shirt,,Light Brown,Straight Sideswept Fringe,White Light Rain
70121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70146,Disciple,None,Subscribed to 2600,Low Rider,Receptionist,10,11,4981,8,11,35555,7,711,10,1,1,,Stud Earring,Silver Aviators,,,White Leather Sneaker with Grey Sole,Gray Slacks,Gray Blazer with Black Shirt and No Tie,,Dark Brown,Updo Bun,White Heavy Rain
70147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70151,Disciple,None,Watched a hacking tutorial video by a 13 year old,Low Rider,Bookkeeper,10,8,4981,8,11,22576,6,725,11,1,1,Black Smartphone,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Olive Oxford with Buttons,,Light Brown,Medium Curly Bob,White Light Rain
70152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70153,Teacher,None,Subscribed to 2600,Pragmatic Coupe,Day Trader,11,11,516,5,10,172581,12,844,19,1,1,,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Navy Oxford with Buttons,Thin,Blonde,Short Afro Fade,White Medium Rain
70154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
