,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
15001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15008,Master,None,Pretty good with GW Basic,Electric Car,Receptionist,12,9,1993,7,12,172581,12,777,14,1,1,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Gray Oxford with Buttons,,Light Brown,Short Messy,White Light Rain
15009,Disciple,None,Stole a high school computer lab pass,Pragmatic Coupe,Night Shift Supervisor,10,12,1654535,14,10,101101,11,805,16,1,1,,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Tan Blazer with Off-White Shirt and No Tie,,Black,Short Messy,White Light Rain
15010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15011,Disciple,None,Pretty good with GW Basic,Electric Car,Pineapple Farmer,10,9,128,4,12,52968,8,610,7,1,1,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,Stubble,Light Grey,Short Afro Fade,White Medium Rain
15012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15015,Guru,None,Subscribed to 2600,Low Rider,Compliance Officer,15,11,516,5,11,10098,5,791,15,1,1,Lunchbox,,Silver Aviators,,,Black Leather Shoes with Laces,Light-Wash Denim,Navy Oxford with Buttons,,Black,Long Straight Bangs,White Light Rain
15016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15024,Graduate,None,Stole a high school computer lab pass,Pragmatic Coupe,NFT Collector,9,12,516,5,10,92000,10,661,8,1,1,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and Navy Tie,Mustache,Blonde,Short Afro Fade,White Light Rain
15025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15034,Budding Scholar,None,Stole a high school computer lab pass,Pragmatic Coupe,Receptionist,8,12,4981,8,10,22576,6,777,14,1,1,Black Smartphone,,,Purple Worker's Cap,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,Thin,Dark Brown,,White Light Rain
15035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15040,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15047,Teacher,None,Pretty good with GW Basic,Electric Car,Talent Agent,11,9,777,6,12,35555,7,699,9,1,1,,,Rosegold Aviators,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Brown Cardigan with Beigse Oxford Shirt,,Light Brown,Medium Curly Bob,White Medium Rain
15048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15058,Disciple,None,Read the Bitcoin white paper twice,Electric Car,Talent Agent,10,10,777,6,12,22576,6,559,6,1,1,Black Smartphone,,Silver Aviators,,,Black Leather Shoes with Laces,Charcoal Slacks,Light Gray Longsleeve,,Dark Brown,Updo Bun,White Medium Rain
15059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
